Id;Label;Genres;Netflix_original;Nombre_occurrence
70205012;Naruto;Anime SF et fantastique,Anime d'action,Séries pour la famille à voir ensemble,Japonais,Séries d'animation japonaise;False;4
70205672;La reine du sud;Mexicain,Séries inspirées de livres,Thrillers TV;True;1
70208104;Sécurité rapprochée;Films d'espionnage,Films d'action;False;1
70208247;21 Jump Street;Satires,Comédies,Policiers d'action,Films d'action;False;2
70208599;The Amazing Spider-Man;Films SF,Films d'action;False;1
70211391;Les aventures de Tintin;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries inspirées de B.D.;False;2
70213130;Boys Over Flowers;Séries dramatiques romantiques,Séries dramatiques,Coréen,Séries pour ados,Séries inspirées de mangas;False;4
70213223;Downton Abbey;Séries dramatiques,Britannique,Films d'époque,Séries dramatiques sociales;False;7
70216227;Arrietty, le petit monde des chapardeurs;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
70217910;Men in Black 3;Films SF,Comédies,Films d'action;False;1
70217931;Les Real Housewives de Beverly Hills;Téléréalité,Séries US;False;1
70218756;Ted;Comédies;False;1
70220028;Hôtel Transylvanie;Films pour la famille,Films jeunesse et famille,Comédies,Films d'animation;False;2
70230640;Django Unchained;Drames,Westerns,Drames sociaux,Drames primés;False;2
70242311;Orange Is the New Black;Séries inspirées de livres,Séries comiques,Séries US,Séries inspirées de faits réels;True;1
70243449;Les cinq légendes;Films pour la famille,Films jeunesse et famille,Films inspirés de livres,Films d'animation;False;1
70244166;Pitch Perfect;Comédies,Films inspirés de livres,Comédies musicales;False;2
70244568;Code Lyoko;Pour enfants,Dessins animés;False;2
70252973;LEGO Ninjago : Les maîtres du Spinjitzu;Pour enfants,Danois,Dessins animés,Séries scandinaves;False;4
70264888;Black Mirror;Britannique,Séries SF,Thrillers TV;True;9
70266998;Fairy Tail;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;3
70267728;Turbo;Films pour la famille,Films jeunesse et famille,Comédies,Films d'animation;False;2
70270408;Les Miller, une famille en herbe;Comédies;False;1
70272726;The Fall;Britannique,Séries policières,Thrillers TV;False;2
70276515;Yeh Jawaani Hai Deewani;Indien,Films en hindi,Films de Bollywood,Comédies romantiques,Drames;False;2
70281312;Blacklist;Séries policières,Séries US,Thrillers TV;False;7
70281562;Brooklyn Nine-Nine;Sitcoms,Séries comiques,Séries policières,Séries US;False;5
70283264;Les 100;Séries politiques,Séries SF,Séries inspirées de livres,Séries d'action et d'aventure,Séries US;False;7
70285368;Rita;Danois,Séries comiques,Séries scandinaves;True;1
